method,rep,t,ess
copf_ce,2,81,314.865
copf_ce,2,82,200.905
copf_ce,2,83,344.326
copf_ce,2,84,247.247
copf_ce,2,85,260.647
copf_ce,2,86,164.531
copf_ce,2,87,161.068
copf_ce,2,88,274.95
copf_ce,2,89,129.264
copf_ce,2,90,225.447
copf_ce,2,91,244.697
copf_ce,2,92,251.006
copf_ce,2,93,282.48
copf_ce,2,94,155.413
copf_ce,2,95,323.885
copf_ce,2,96,201.257
copf_ce,2,97,284.004
copf_ce,2,98,182.741
copf_ce,2,99,329.869
copf_ce,2,100,225.655
copf_ce,2,101,365.981
copf_ce,2,102,256.932
copf_ce,2,103,163.157
copf_ce,2,104,362.298
copf_ce,2,105,222.764
copf_ce,2,106,339.925
copf_ce,2,107,221.945
copf_ce,2,108,373.302
copf_ce,2,109,257.929
copf_ce,2,110,205.162
copf_ce,2,111,397.7
copf_ce,2,112,273.742
copf_ce,2,113,206.077
copf_ce,2,114,313.302
copf_ce,2,115,206.076
copf_ce,2,116,389.803
copf_ce,2,117,294.471
copf_ce,2,118,222.377
copf_ce,2,119,407.067
copf_ce,2,120,335.677
copf_ce,2,121,264.649
copf_ce,2,122,177.475
copf_ce,2,123,300.555
copf_ce,2,124,199.358
copf_ce,2,125,377.029
copf_ce,2,126,276.362
copf_ce,2,127,197.115
copf_ce,2,128,397.686
copf_ce,2,129,253.445
copf_ce,2,130,390.949
copf_ce,2,131,316.462
copf_ce,2,132,253.145
copf_ce,2,133,367.965
copf_ce,2,134,285.71
copf_ce,2,135,230.856
copf_ce,2,136,395.829
copf_ce,2,137,273.015
copf_ce,2,138,187.754
copf_ce,2,139,403.271
copf_ce,2,140,263.648
copf_ce,2,141,190.402
copf_ce,2,142,377.85
copf_ce,2,143,288.399
copf_ce,2,144,232.602
copf_ce,2,145,430.807
copf_ce,2,146,343.243
copf_ce,2,147,276.22
copf_ce,2,148,171.109
copf_ce,2,149,375.454
pf_ce,3,0,2.01488
pf_ce,3,1,255.698
pf_ce,3,2,261.181
pf_ce,3,3,135.409
pf_ce,3,4,29.0086
pf_ce,3,5,225.272
pf_ce,3,6,27.7096
pf_ce,3,7,219.783
pf_ce,3,8,91.0665
pf_ce,3,9,203.149
pf_ce,3,10,242.276
pf_ce,3,11,91.2563
pf_ce,3,12,164.797
pf_ce,3,13,75.6835
pf_ce,3,14,167.352
pf_ce,3,15,124.103
pf_ce,3,16,216.697
pf_ce,3,17,238.632
pf_ce,3,18,233.478
pf_ce,3,19,107.266
pf_ce,3,20,81.5711
pf_ce,3,21,124.026
pf_ce,3,22,11.0528
pf_ce,3,23,87.7171
pf_ce,3,24,19.7868
pf_ce,3,25,177.087
pf_ce,3,26,154.973
pf_ce,3,27,69.5428
pf_ce,3,28,86.9693
pf_ce,3,29,55.7583
pf_ce,3,30,211.191
pf_ce,3,31,199.723
pf_ce,3,32,226.851
pf_ce,3,33,173.275
pf_ce,3,34,115.99
pf_ce,3,35,68.0292
pf_ce,3,36,242.709
